AS_cluster_name	name	bin	length	contig_edge	completeness	contamination	N50	size	P_final	C_final	O_final	F_final	G_final	S_final	P_gtdb	C_gtdb	O_gtdb	F_gtdb	G_gtdb	S_gtdb	phylum	class	order	family	genus	species	final_product	coverage	distance
c01686_contig_...region001	contig_52622:1.0-47161.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	47073	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	4.17296539417501	1283
c00658_contig_...region001	contig_28105:1.0-117425.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20555	False	NA	NA	NA	NA	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	not classified	not classified	not classified	terpene	5.80327512922648	961
c00333_contig_...region001	contig_6507:2670.0-147407.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20333	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	not classified	not classified	terpene	22.0270786369684	852
c01740_contig_...region001	contig_8045:1.0-88325.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23139	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	terpene	29.2920647166943	912
c01458_contig_...region001_1	contig_19603:1.0-144760.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	41275	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	arylpolyene	9.85129485222319	1602
c00378_contig_...region001_1	contig_20494:1.0-39657.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	31774	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	arylpolyene	6.27374455514945	1561
c00924_contig_...region001	contig_2309:4.0-35079.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20933	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	nucleoside	15.4288855258274	1443
c01429_contig_...region001_1	contig_17506:1.0-90794.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	16994	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	bacteriocin	11.1388194895387	699
c00964_contig_...region001	contig_16992:1.0-248092.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	44295	False	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	7.12850395977575	873
c01279_contig_...region001	contig_1735:1.0-69235.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	35105	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	NRPS	18.8309144408591	1036
c00449_contig_...region001	contig_18479:1.0-116527.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10444	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	GCA-002050365 sp002050365	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	GCA-002050365	GCA-002050365 sp002050365	bacteriocin	8.55747032863447	633
c01573_contig_...region001	contig_9862:1.0-547146.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40552	False	NA	NA	NA	NA	Verrucomicrobiota	Verrucomicrobiae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	not classified	not classified	not classified	not classified	T3PKS	9.63694352014567	859
c00603_contig_...region001	contig_60158:1.0-29851.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	28317	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	12.1161904761905	438
c00039_contig_...region001	contig_8229:1.0-300807.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10932	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	bacteriocin	6.95594269766455	471
c01408_contig_...region001	contig_1955:1.0-241637.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20852	False	NA	NA	NA	NA	Planctomycetota	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Planctomycetota	not classified	not classified	not classified	not classified	not classified	terpene	8.07075847565534	595
c01830_contig_...region001	contig_17959:1.0-1640407.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.111	40822	False	83.45	3.424	1030787	6336172	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	not classified	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	not classified	not classified	T3PKS	13.0470024325244	1366
c00920_contig_...region001_1	contig_14947:1.0-59945.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	41578	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	UBA11741	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	UBA11741	not classified	NRPS-like	5.85121331406647	1099
c01216_contig_...region001	contig_496:1.0-206243.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.110	24301	False	61.51	0.177	216075	1940531	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	Pseudonocardia	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	Pseudonocardia	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	not classified	not classified	lanthipeptide	43.7944199355005	809
c01176_contig_...region001	contig_5870:1.0-1471354.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	45062	False	NA	NA	NA	NA	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	not classified	not classified	NRPS	12.3469028346249	1459
c00859_contig_...region001	contig_44326:1.0-62839.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	34293	True	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	HyphomicrobiumA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	HyphomicrobiumA	not classified	T3PKS	8.91049578393457	1080
c00618_contig_...region001	contig_44012:1.0-80126.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	11057	True	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Rhizobiales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Rhizobiales	not classified	not classified	not classified	terpene	8.55804232021308	606
c01627_contig_...region001	contig_45288:1.0-140135.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	42366	False	NA	NA	NA	NA	Binatota	Binatia	UBA9968	UBA9968	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Binatota	Binatia	UBA9968	UBA9968	not classified	not classified	NRPS	6.98403387793642	1313
c01400_contig_...region001	contig_2367:1.0-85258.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	43807	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	terpene_hybrid	22.6318798472317	1574
c00034_contig_...region001	contig_55232:1.0-68079.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	31100	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	not classified	not classified	not classified	betalactone	6.07559604006795	1409
c00771_contig_...region001	contig_53847:1.0-22655.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	22945	True	NA	NA	NA	NA	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	NRPS	7.71296578775332	1038
c00474_contig_...region001	contig_53435:1.0-64698.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20624	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	not classified	not classified	terpene	8.2393926340728	803
c01493_contig_...region001	contig_52360:1.0-371614.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.17	26442	False	85.8	0.396	130473	4600391	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_B	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia marcescens_B	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	not classified	thiopeptide	16.845889142397	239
c00794_contig_...region001	contig_12847:1.0-242629.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	31813	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	betalactone	7.47167505924171	1304
c00337_contig_...region001	contig_14371:1.0-219508.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40204	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	arylpolyene	8.05451749327182	1135
c00679_contig_...region001	contig_41705:1.0-36002.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	36107	True	NA	NA	NA	NA	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	TaibaiellaB	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	TaibaiellaB	not classified	arylpolyene	3.68393940233196	1370
c01165_contig_...region001	contig_3551:1.0-43715.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	43890	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	NRPS	4.22469810890864	591
c00357_contig_...region001	contig_57773:1.0-17909.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	17275	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	GCA-003244245	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	Pseudonocardiaceae	GCA-003244245	not classified	terpene	8.85377713458755	824
c00980_contig_...region001	contig_56292:1.0-27802.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	28073	True	NA	NA	NA	NA	Bacteroidota	Bacteroidia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Bacteroidota	Bacteroidia	not classified	not classified	not classified	not classified	NRPS	6.28871157339793	604
c00405_contig_...region001	contig_39124:1.0-30949.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	11847	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	5.65538580545349	637
c00281_contig_...region001	contig_22373:1.0-85403.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	37378	True	NA	NA	NA	NA	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	NRPS	7.06732624921524	778
c00437_contig_...region001	contig_53395:1.0-41455.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	35868	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	T3PKS	8.58244080145719	919
c01110_contig_...region001	contig_17159:1.0-201246.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	18955	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	10.4093873004085	1098
c00098_contig_...region001	contig_12098:1.0-66177.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23286	False	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	not classified	not classified	not classified	not classified	lassopeptide	6.5143697225573	962
c00096_contig_...region001	contig_12096:1.0-81038.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	21036	False	NA	NA	NA	NA	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	not classified	not classified	not classified	LAP	8.96286945812808	811
c00658_contig_...region001_1	contig_1871:1.0-358932.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20552	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	terpene	9.60186821369431	711
c00831_contig_...region001	contig_18912:1.0-67025.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40279	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	not classified	not classified	T3PKS	8.94473750687252	1241
c00312_contig_...region001	contig_20411:1.0-113491.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	44811	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	acyl_amino_acids	6.52517312534975	717
c01324_contig_...region001	contig_35704:1.0-39446.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	8416	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	not classified	not classified	bacteriocin	4.07747702379454	440
c00639_contig_...region001	contig_55888:1.0-39373.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	15466	True	NA	NA	NA	NA	Chloroflexota_A	Ellin6529	CSP1-4	CSP1-4	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Chloroflexota_A	Ellin6529	CSP1-4	CSP1-4	not classified	not classified	lassopeptide	8.64708583088892	497
c00232_contig_...region002	contig_6410:1.0-72588.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10279	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	bacteriocin	7.512050648045	362
c00772_contig_...region001_1	contig_22909:1.0-114182.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	22096	False	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	lassopeptide	8.08375408375408	601
c00247_contig_...region001_1	contig_22326:1.0-24814.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20408	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	not classified	not classified	hserlactone	4.46494331430409	799
c00491_contig_...region001	contig_10529:1.0-259210.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20795	False	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	terpene	15.3748487858421	1039
c01219_contig_...region001	contig_54417:1.0-91370.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	35284	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	not classified	not classified	not classified	other	4.3598668049566	437
c00273_contig_...region001	contig_27459:1.0-96065.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	16248	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	terpene	91.0702515448474	1129
c00612_contig_...region001	contig_48822:1.0-74975.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	34022	True	NA	NA	NA	NA	Binatota	Binatia	UBA9968	UBA9968	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Binatota	Binatia	UBA9968	UBA9968	not classified	not classified	NRPS	6.43722592384119	675
c00333_contig_...region001_1	contig_20436:1.0-59551.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	32818	True	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	not classified	T3PKS	5.97228683792151	566
c01379_contig_...region001	contig_38058:1.0-160341.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	43641	False	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	not classified	PKS_hybrid	8.04422957343614	1432
c01468_contig_...region001	contig_974:1.0-197359.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.101	20699	False	81.49	1.149	604435	3729011	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	terpene	11.4661458728353	1465
c00731_contig_...region001	contig_188:1.0-359612.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	42466	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	2-12-FULL-66-21	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	2-12-FULL-66-21	not classified	not classified	NRPS-like	22.1091638929681	1486
c00006_contig_...region001_1	contig_11995:1.0-31117.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12202	True	NA	NA	NA	NA	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	not classified	not classified	terpene	14.6302714646465	510
c01426_contig_...region001	contig_54675:1.0-32693.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	18598	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	terpene	6.51947933733843	477
c01808_scaffol...region001	scaffold_38124:1.0-156909.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	56702	False	NA	NA	NA	NA	Proteobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	not classified	not classified	not classified	not classified	not classified	PKS_hybrid	7.99954908896919	2140
c01098_contig_...region001_1	contig_13172:1.0-149980.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40936	False	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	not classified	not classified	not classified	not classified	T3PKS	13.4520403072932	1287
c00638_contig_...region001	contig_2807:1.0-398931.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	73790	False	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	NRPS	114.408332771119	1339
c01811_contig_...region001	contig_15899:1.0-156502.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	25093	True	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	NRPS	30.4974320087681	1752
c01107_contig_...region001	contig_3998:1.0-221944.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	40555	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	NRPS-like	9.47085236057675	1528
c01777_contig_...region001_1	contig_43147:1.0-60627.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.51	22520	False	85.24	0.963	145839	6557706	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter sp001299435	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	not classified	betalactone	19.6445853849415	561
c01342_contig_...region001	contig_13435:1.0-77764.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10840	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Sphingomonadales	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	not classified	not classified	not classified	bacteriocin	9.79355798327948	598
c01546_contig_...region001_1	contig_21733:1.0-52175.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	23627	False	NA	NA	NA	NA	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	2-12-FULL-66-21	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	2-12-FULL-66-21	not classified	not classified	lassopeptide	23.6690793117277	725
c01786_contig_...region001	contig_5035:1.0-185256.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.41	25464	False	52.08	7.21	109237	3077699	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	not classified	betalactone	7.38646431766494	1045
c01376_contig_...region001	contig_26442:1.0-68972.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	50921	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	not classified	not classified	acyl_amino_acids	5.58164165931156	1628
c01212_contig_...region001_1	contig_17271:1.0-58526.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	57364	True	NA	NA	NA	NA	Bacteroidota	Ignavibacteria	SJA-28	B-1AR	UBA2330	UBA2330 sp002344965	not classified	not classified	not classified	not classified	not classified	not classified	Bacteroidota	Ignavibacteria	SJA-28	B-1AR	UBA2330	UBA2330 sp002344965	NRPS	4.50024607551973	2000
c00256_contig_...region001	contig_18259:1.0-186231.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	15279	True	NA	NA	NA	NA	Actinobacteriota	Actinobacteria	Mycobacteriales	QHCA01	QHCA01	QHCA01 sp003244095	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Actinobacteria	Mycobacteriales	QHCA01	QHCA01	QHCA01 sp003244095	terpene	19.5895381083415	813
