BGC_region,Class,Category,Start,End,Length,MAG,Taxonomy,CC,Family
CSMAG_5930_contig_6398_polypolish.region001,RRE-containing,RiPP,16888,31236,14349,CSMAG_5930,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Desertibaculum;s__,1,FAM_03770
CSMAG_7457_contig_92963_polypolish.region001,hglE-KS,PKS,1,39674,39674,CSMAG_7457,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__;s__,48150,FAM_07857
CSMAG_3543_contig_2382_polypolish.region002,RRE-containing,RiPP,383648,404031,20384,CSMAG_3543,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JABFSM01;s__,48154,FAM_07858
CSMAG_0838_contig_2485.region001,terpene,terpene,691592,712449,20858,CSMAG_0838,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Methylomirabilis;s__,48158,FAM_07859
CSMAG_7833_contig_6833_polypolish.region001,RiPP-like,RiPP,198390,209190,10801,CSMAG_7833,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__,16645,FAM_01788
CSMAG_5018_contig_20715_polypolish.region001,RiPP-like,RiPP,31026,41835,10810,CSMAG_5018,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SHXO01;g__SHXO01;s__,48166,FAM_07860
CSMAG_1818_contig_24149_polypolish.region001,NRPS,NRPS,234494,311179,76686,CSMAG_1818,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__JAJVID01;s__JAJVID01 sp035275805,48170,FAM_07861
CSMAG_7891_contig_37908_polypolish.region001,RRE-containing,RiPP,1,15204,15204,CSMAG_7891,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Palsa-892;s__,48174,FAM_07862
CSMAG_0487_contig_7290_polypolish.region001,T3PKS,PKS,182911,223975,41065,CSMAG_0487,d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__UBA2774;g__2-12-FULL-53-21;s__2-12-FULL-53-21 sp035455615,15190,FAM_01712
CSMAG_7401_contig_81938_polypolish.region001,RRE-containing,RiPP,74286,94543,20258,CSMAG_7401,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__,48182,FAM_07863
CSMAG_0063_contig_22556_polypolish.region001,ladderane,other,75851,117044,41194,CSMAG_0063,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__40CM-4-69-5;s__40CM-4-69-5 sp035457825,4670,FAM_00890
CSMAG_0589_contig_35617.region001,RRE-containing.lassopeptide,RiPP,202210,225972,23763,CSMAG_0589,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__,16899,FAM_01803
CSMAG_2708_contig_1490_polypolish.region005,NRPS-like.betalactone,NRPS.other,407359,455310,47952,CSMAG_2708,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,16279,FAM_01767
CSMAG_1486_contig_120202_polypolish.region001,hglE-KS,PKS,330012,381812,51801,CSMAG_1486,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__,48198,FAM_07864
CSMAG_1617_contig_4881_polypolish.region001,ladderane,other,174920,216056,41137,CSMAG_1617,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__DP-6;f__DP-6;g__;s__,17556,FAM_01853
CSMAG_3153_contig_33216_polypolish.region001,T3PKS,PKS,105217,146287,41071,CSMAG_3153,d__Bacteria;p__JAUYMQ01;c__JAUYMQ01;o__;f__;g__;s__,48206,FAM_07865
CSMAG_3898_contig_5617_polypolish.region001,terpene,terpene,116473,138362,21890,CSMAG_3898,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Limisphaerales;f__JAKEEH01;g__JAKEEH01;s__,31939,FAM_02436
CSMAG_4927_contig_30752_polypolish.region001,RRE-containing,RiPP,189990,210286,20297,CSMAG_4927,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__JACCXV01;f__JAHWKZ01;g__JAICNR01;s__,466,FAM_00199
CSMAG_1792_contig_4489_polypolish.region001,betalactone,other,661134,685168,24035,CSMAG_1792,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__RBG-16-64-32;g__DASSZB01;s__,4811,FAM_00902
CSMAG_3254_contig_37917_polypolish.region001,terpene,terpene,1,17343,17343,CSMAG_3254,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__DASUGC01;s__,13237,FAM_01577
CSMAG_3968_contig_38124_polypolish.region001,ranthipeptide,RiPP,50294,71957,21664,CSMAG_3968,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA6930;g__DATAGA01;s__,48226,FAM_02910
CSMAG_1302_contig_14536_polypolish.region001,NRPS,NRPS,287338,413169,125832,CSMAG_1302,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__Gp6-AA40 sp035710305,46777,FAM_02874
CSMAG_6564_contig_17819_polypolish.region001,NRPS-like,NRPS,3033,45066,42034,CSMAG_6564,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__PALSA-1004;s__,48234,FAM_07866
CSMAG_6414_contig_114173_polypolish.region001,betalactone,other,11832,39389,27558,CSMAG_6414,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp025929745,234,FAM_00120
CSMAG_4132_contig_101898_polypolish.region001,NRPS,NRPS,1,33329,33329,CSMAG_4132,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__,48242,FAM_07867
CSMAG_5187_contig_48951_polypolish.region001,RRE-containing,RiPP,1,18371,18371,CSMAG_5187,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__JAREAF01;g__JAREAF01;s__JAREAF01 sp035456545,48246,FAM_07868
CSMAG_3767_contig_45847_polypolish.region001,T1PKS,PKS,4046,51697,47652,CSMAG_3767,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JAFGIB01;g__JADGRF01;s__,48250,FAM_07869
CSMAG_2361_contig_11982_polypolish.region002,terpene,terpene,412430,433284,20855,CSMAG_2361,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__,4459,FAM_00869
CSMAG_6686_contig_2597_polypolish.region001,2dos,other,53687,95920,42234,CSMAG_6686,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__DP-6;f__DP-6;g__DATMAZ01;s__,34001,FAM_02502
CSMAG_4992_contig_58767_polypolish.region001,LAP.RRE-containing,RiPP,1,24707,24707,CSMAG_4992,d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UBA1406;f__UBA1406;g__JBAYJK01;s__,48262,FAM_07870
CSMAG_2189_contig_181400_polypolish.region001,T3PKS,PKS,1,35843,35843,CSMAG_2189,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__DASPKM01;s__,48274,FAM_02911
CSMAG_5775_contig_3528_polypolish.region001,T1PKS,PKS,196288,231464,35177,CSMAG_5775,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__,48278,FAM_07871
CSMAG_0046_contig_29576_polypolish.region001,RRE-containing,RiPP,1214,21510,20297,CSMAG_0046,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__,16815,FAM_01798
CSMAG_1140_contig_7023_polypolish.region002,RRE-containing,RiPP,235563,256165,20603,CSMAG_1140,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp036277875,82,FAM_00063
CSMAG_3946_contig_14606_polypolish.region001,RiPP-like.proteusin,RiPP,269494,291370,21877,CSMAG_3946,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__AA29;s__,48290,FAM_07872
CSMAG_0811_contig_23538_polypolish.region001,terpene,terpene,666446,687714,21269,CSMAG_0811,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Rariloculales;f__Rariloculaceae;g__FEN-1219;s__,48302,FAM_07873
CSMAG_0618_contig_7460.region001,betalactone,other,55172,87290,32119,CSMAG_0618,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__CACIAM-22H2;f__CACIAM-22H2;g__DATFES01;s__DATFES01 sp035457725,4379,FAM_00858
CSMAG_0055_contig_11754_polypolish.region001,NRPS-like,NRPS,357774,400386,42613,CSMAG_0055,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__,48310,FAM_02913
CSMAG_5068_contig_7897_polypolish.region002,NRPS,NRPS,280716,332122,51407,CSMAG_5068,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__DP-20 sp040510635,48314,FAM_02914
CSMAG_4210_contig_41764_polypolish.region001,arylpolyene,other,83349,130256,46908,CSMAG_4210,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__JADGHX01;s__,48318,FAM_07874
CSMAG_5901_contig_35236_polypolish.region001,terpene,terpene,3608,25608,22001,CSMAG_5901,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Limisphaerales;f__JAKEEH01;g__JAKEEH01;s__,48322,FAM_07875
CSMAG_0733_contig_10006_polypolish.region002,terpene,terpene,977046,998044,20999,CSMAG_0733,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__DASTBI01;s__,4043,FAM_00822
CSMAG_2602_contig_4567_polypolish.region003,terpene,terpene,304544,326721,22178,CSMAG_2602,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__,1960,FAM_00519
CSMAG_5488_contig_15192_polypolish.region001,hglE-KS,PKS,49623,99611,49989,CSMAG_5488,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__SIAJ01;s__,48334,FAM_07876
CSMAG_4288_contig_66094_polypolish.region001,NRPS.T1PKS,NRPS.PKS,69586,116737,47152,CSMAG_4288,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__VFZN01;s__,9722,FAM_01339
CSMAG_0966_contig_29763_polypolish.region001,T1PKS,PKS,208831,258028,49198,CSMAG_0966,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACDCA01;s__,17003,FAM_01816
CSMAG_0465_contig_7184_polypolish.region002,redox-cofactor,RiPP,853200,875345,22146,CSMAG_0465,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__DATKFM01;s__,3110,FAM_00674
CSMAG_1160_contig_19903_polypolish.region001,betalactone,other,708399,739283,30885,CSMAG_1160,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas_B;s__,2521,FAM_00592
CSMAG_3647_contig_64712_polypolish.region001,RRE-containing,RiPP,105997,126248,20252,CSMAG_3647,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__,48362,FAM_02915
CSMAG_6553_contig_61677_polypolish.region001,NRPS-like,NRPS,58072,107167,49096,CSMAG_6553,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__CAIWHR01;s__,48366,FAM_07877
CSMAG_2950_contig_9262.region001,terpene,terpene,270083,290751,20669,CSMAG_2950,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JAGGAG01;s__,434,FAM_00190
CSMAG_1610_contig_1412_polypolish.region001,redox-cofactor,RiPP,506054,528186,22133,CSMAG_1610,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__,12897,FAM_01553
CSMAG_2257_contig_33689_polypolish.region001,lanthipeptide-class-i,RiPP,541116,574327,33212,CSMAG_2257,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__,48391,FAM_07878
CSMAG_5556_contig_29756_polypolish.region001,RiPP-like,RiPP,37975,48958,10984,CSMAG_5556,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__HRBIN30;f__CADEER01;g__;s__,16151,FAM_01763
CSMAG_5049_contig_1180_polypolish.region001,terpene,terpene,58485,80647,22163,CSMAG_5049,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp036376045,1960,FAM_00518
CSMAG_5283_contig_15319_polypolish.region001,phenazine,other,79094,99510,20417,CSMAG_5283,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__DASXSB01;s__,48403,FAM_07879
CSMAG_0681_contig_41187_polypolish.region001,terpene,terpene,93963,114970,21008,CSMAG_0681,d__Bacteria;p__Bacteroidota_A;c__UBA10030;o__UBA10030;f__UBA6906;g__JAGDMJ01;s__,48407,FAM_07880
CSMAG_1513_contig_7106_polypolish.region001,NRPS-like,NRPS,18561,61551,42991,CSMAG_1513,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__,15856,FAM_01748
CSMAG_2518_contig_2224_polypolish.region001,NRPS-like,NRPS,128661,170703,42043,CSMAG_2518,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__,48415,FAM_02916
CSMAG_3457_contig_31244_polypolish.region001,lanthipeptide-class-i,RiPP,313457,333189,19733,CSMAG_3457,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__DATBJJ01;s__,48419,FAM_07881
CSMAG_3347_contig_65017_polypolish.region001,RiPP-like.T1PKS,PKS.RiPP,29478,79426,49949,CSMAG_3347,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__,48423,FAM_07882
CSMAG_1616_contig_6833_polypolish.region001,resorcinol,other,609523,651406,41884,CSMAG_1616,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__SG8-41;s__,48435,FAM_02917
CSMAG_0974_contig_8292_polypolish.region001,ladderane,other,510309,551487,41179,CSMAG_0974,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__DASRWT01;s__,4035,FAM_00821
CSMAG_1306_contig_3135_polypolish.region001,arylpolyene,other,242456,283649,41194,CSMAG_1306,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__SG8-41;s__,31307,FAM_02417
CSMAG_2163_contig_3335_polypolish.region001,terpene,terpene,323655,345348,21694,CSMAG_2163,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__JANOGJ01;s__,1656,FAM_00441
CSMAG_0945_contig_31430_polypolish.region001,lanthipeptide-class-i,RiPP,1,16850,16850,CSMAG_0945,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteriia;o__G020349025;f__G020349025;g__DASRJW01;s__,39240,FAM_02686
CSMAG_6383_contig_40972_polypolish.region001,hserlactone,other,87855,108214,20360,CSMAG_6383,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii,48455,FAM_07883
CSMAG_1921_contig_30589.region002,RRE-containing,RiPP,232428,253030,20603,CSMAG_1921,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp036277875,82,FAM_00063
CSMAG_0530_contig_9646_polypolish.region001,RRE-containing,RiPP,1,20048,20048,CSMAG_0530,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JABWBJ01;s__,48463,FAM_02918
CSMAG_3527_contig_14746_polypolish.region001,NRPS-like,NRPS,165192,207789,42598,CSMAG_3527,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-320;s__,1282,FAM_00360
CSMAG_6809_contig_4150_polypolish.region001,terpene,terpene,56278,77129,20852,CSMAG_6809,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__,490,FAM_00203
CSMAG_1420_contig_71347_polypolish.region001,NRPS-like,NRPS,33533,75833,42301,CSMAG_1420,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JALZOC01;s__,21236,FAM_02020
CSMAG_5005_contig_38291_polypolish.region001,RRE-containing,RiPP,89068,109289,20222,CSMAG_5005,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__,2141,FAM_00538
CSMAG_5964_contig_72185_polypolish.region001,NRPS,NRPS,35976,67628,31653,CSMAG_5964,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__JAQGMV01;s__,2795,FAM_00643
CSMAG_2632_contig_48655_polypolish.region001,RRE-containing.lassopeptide.oligosaccharide,RiPP.saccharide,63443,118630,55188,CSMAG_2632,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Fen-1058;f__Fen-1058;g__DASSFZ01;s__DASSFZ01 sp035693785,48487,FAM_07884
CSMAG_7013_contig_128167_polypolish.region001,RRE-containing,RiPP,120989,142068,21080,CSMAG_7013,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__DASRJG01;g__DASRJG01;s__,48499,FAM_07885
CSMAG_4214_contig_53869_polypolish.region001,T3PKS,PKS,86468,127646,41179,CSMAG_4214,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__,37086,FAM_02621
CSMAG_3482_contig_19884_polypolish.region001,RiPP-like,RiPP,11332,23257,11926,CSMAG_3482,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__,6526,FAM_01075
CSMAG_6319_contig_57_polypolish.region001,NRPS-like,NRPS,121783,144823,23041,CSMAG_6319,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__JACPHL01;g__DASYUM01;s__,48511,FAM_07886
CSMAG_2241_contig_133_polypolish.region001,RRE-containing,RiPP,9404,28598,19195,CSMAG_2241,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,7030,FAM_01132
CSMAG_0187_contig_13509_polypolish.region001,lanthipeptide-class-v,RiPP,341841,383876,42036,CSMAG_0187,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__JACCXV01;f__JAHWKZ01;g__JAICNR01;s__,3617,FAM_00745
CSMAG_0160_contig_942_polypolish.region001,lanthipeptide-class-i,RiPP,399824,424278,24455,CSMAG_0160,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__,48523,FAM_07887
CSMAG_1462_contig_3653_polypolish.region001,NRPS-like,NRPS,246743,289232,42490,CSMAG_1462,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__DATBJJ01;s__,48527,FAM_02919
CSMAG_2064_contig_25346_polypolish.region001,T3PKS,PKS,1,38226,38226,CSMAG_2064,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Bin18;f__Bin18;g__JABFSC01;s__,48531,FAM_07888
CSMAG_3759_contig_19073_polypolish.region001,redox-cofactor,RiPP,83573,105709,22137,CSMAG_3759,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__DATFEN01;s__,6104,FAM_01028
CSMAG_4724_contig_5919_polypolish.region001,NRPS-like,NRPS,120624,153077,32454,CSMAG_4724,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__,3464,FAM_00719
CSMAG_4622_contig_1650_polypolish.region002,NRPS-like,NRPS,629023,671968,42946,CSMAG_4622,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__SG8-41;s__,22839,FAM_02095
CSMAG_7440_contig_24645_polypolish.region001,phosphonate,other,116876,130731,13856,CSMAG_7440,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__DP-6;f__DP-6;g__;s__,48547,FAM_07889
CSMAG_5889_contig_34768_polypolish.region001,RRE-containing,RiPP,24344,44637,20294,CSMAG_5889,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__,48551,FAM_02920
CSMAG_4175_contig_5046_polypolish.region001,betalactone,other,54260,82928,28669,CSMAG_4175,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__JBBDJG01;g__DASRIA01;s__,48555,FAM_07890
CSMAG_5040_contig_7438_polypolish.region001,terpene,terpene,102170,128488,26319,CSMAG_5040,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__,2910,FAM_00655
CSMAG_5029_contig_30784_polypolish.region002,acyl_amino_acids,other,149868,203848,53981,CSMAG_5029,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Schlegelella_A;s__,48563,FAM_07891
CSMAG_4452_contig_72807_polypolish.region001,thioamitides,RiPP,22248,44226,21979,CSMAG_4452,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp036277875,4167,FAM_00837
CSMAG_2719_contig_7831_polypolish.region001,terpene,terpene,380657,402383,21727,CSMAG_2719,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-02-FULL-65-29;s__,16903,FAM_01804
CSMAG_6599_contig_33204_polypolish.region001,redox-cofactor,RiPP,71611,93717,22107,CSMAG_6599,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,7030,FAM_01132
CSMAG_2296_contig_2132_polypolish.region001,NRPS-like,NRPS,106270,149680,43411,CSMAG_2296,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,48579,FAM_07892
CSMAG_5944_contig_107044_polypolish.region001,terpene,terpene,34210,55685,21476,CSMAG_5944,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,37,FAM_00034
CSMAG_1128_contig_3213_polypolish.region007,NRPS,NRPS,6183757,6227374,43618,CSMAG_1128,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Limisphaerales;f__SIBH01;g__JANNGC01;s__,48587,FAM_07893
CSMAG_1886_contig_1937.region001,betalactone,other,256820,284714,27895,CSMAG_1886,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,10392,FAM_01395
CSMAG_6197_contig_34042_polypolish.region001,arylpolyene,other,42310,83506,41197,CSMAG_6197,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp025935475,6742,FAM_01103
CSMAG_5646_contig_19684_polypolish.region001,acyl_amino_acids,other,1,53284,53284,CSMAG_5646,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__AWTP1-13;s__,48599,FAM_07894
CSMAG_7233_contig_44863.region001,T1PKS.ranthipeptide,PKS.RiPP,101418,160832,59415,CSMAG_7233,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__DATKEG01;s__,48603,FAM_07895
CSMAG_6256_contig_22217_polypolish.region001,NRPS-like,NRPS,99136,141658,42523,CSMAG_6256,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b;s__,41004,FAM_02733
CSMAG_6191_contig_30718_polypolish.region001,ranthipeptide,RiPP,44811,66200,21390,CSMAG_6191,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__DASTFY01;s__,36764,FAM_02607
CSMAG_2942_contig_33496_polypolish.region001,RRE-containing,RiPP,88495,109265,20771,CSMAG_2942,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__JAPUKU01;f__JAPUKU01;g__;s__,48623,FAM_07896
CSMAG_6106_contig_18123.region002,NRPS.NRPS-like,NRPS,153601,218604,65004,CSMAG_6106,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__JACPRU01;f__JACPRU01;g__JACPRU01;s__,48627,FAM_07897
CSMAG_3188_contig_33778_polypolish.region001,RRE-containing,RiPP,7640,27939,20300,CSMAG_3188,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__DASUGC01;s__,48644,FAM_07898
CSMAG_6150_contig_32369_polypolish.region001,NRPS,NRPS,47655,95299,47645,CSMAG_6150,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__,18290,FAM_01894
CSMAG_1341_contig_6527_polypolish.region001,arylpolyene,other,12625,52888,40264,CSMAG_1341,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp025935475,48652,FAM_07899
CSMAG_7737_contig_60883_polypolish.region001,arylpolyene,other,361439,401882,40444,CSMAG_7737,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__CAWULT01;s__,48656,FAM_07900
