Mag ID	Completeness	Contamination	Polish
SemiBin_35	83.54	2.08 	medaka
SemiBin_361	43.2	1.01 	medaka
SemiBin_37	85.68	1.16 	medaka
SemiBin_38	54.23	2.79 	medaka
SemiBin_39	80.4	1.99 	medaka
SemiBin_397	40.5	3.08 	medaka
SemiBin_4	96.09	0.49 	medaka
SemiBin_40	89.86	6.06 	medaka
SemiBin_41	80.46	5.65 	medaka
SemiBin_42	77.14	2.74 	medaka
SemiBin_43	87.42	6.36 	medaka
SemiBin_44	80.74	1.92 	medaka
SemiBin_46	75.14	2.23 	medaka
SemiBin_47	68.69	2.26 	medaka
SemiBin_48	91.53	1.34 	medaka
SemiBin_49	86.24	4.31 	medaka
SemiBin_5	83.75	4.83 	medaka
SemiBin_50	57.63	1.25 	medaka
SemiBin_501	55.67	7.93 	medaka
SemiBin_51	79.02	4.91 	medaka
SemiBin_52	76.08	0.44 	medaka
SemiBin_53	66.03	0.73 	medaka
SemiBin_54	92.04	2.41 	medaka
SemiBin_55	75.99	1.47 	medaka
SemiBin_56	69.24	5.1 	medaka
SemiBin_57	80.95	0.38 	medaka
SemiBin_58	66.66	4.91 	medaka
SemiBin_59	59.02	1.23 	medaka
SemiBin_6	89.41	0.73 	medaka
SemiBin_60	85.59	3.5 	medaka
SemiBin_601	45.95	8.13 	medaka
SemiBin_603	44.72	10.98 	medaka
SemiBin_61	87.57	10.31 	medaka
SemiBin_62	60.99	1.74 	medaka
SemiBin_63	61.78	1.0 	medaka
SemiBin_64	61.7	0.29 	medaka
SemiBin_65	83.7	0.69 	medaka
SemiBin_66	76.68	1.92 	medaka
SemiBin_67	72.28	0.94 	medaka
SemiBin_675	47.49	0.87 	medaka
SemiBin_68	83.2	5.99 	medaka
SemiBin_69	63.71	4.56 	medaka
SemiBin_7	87.64	1.91 	medaka
SemiBin_70	82.72	5.48 	medaka
SemiBin_71	67.43	3.22 	medaka
SemiBin_73	68.36	2.48 	medaka
SemiBin_74	73.9	0.48 	medaka
SemiBin_75	61.05	0.45 	medaka
SemiBin_76	55.98	1.87 	medaka
SemiBin_77	65.28	1.58 	medaka
SemiBin_78	87.85	8.69 	medaka
SemiBin_79	64.2	0.37 	medaka
SemiBin_8	92.45	1.07 	medaka
SemiBin_81	60.14	5.73 	medaka
SemiBin_82	73.07	0.32 	medaka
SemiBin_83	92.76	7.53 	medaka
SemiBin_84	70.57	2.82 	medaka
SemiBin_85	54.18	1.2 	medaka
SemiBin_88	59.08	1.76 	medaka
SemiBin_89	78.16	3.63 	medaka
SemiBin_9	97.28	3.89 	medaka
SemiBin_90	75.92	1.87 	medaka
SemiBin_91	57.6	0.46 	medaka
SemiBin_92	57.28	0.46 	medaka
SemiBin_93	56.87	4.62 	medaka
SemiBin_94	62.52	2.09 	medaka
SemiBin_95	59.4	0.58 	medaka
SemiBin_96	38.08	0.27 	medaka
SemiBin_966	42.35	3.02 	medaka
SemiBin_97	49.43	1.25 	medaka
SemiBin_98	56.41	2.94 	medaka
SemiBin_984	45.43	6.3 	medaka
SemiBin_99	52.23	1.48 	medaka
SemiBin_0	97.43	0.54 	medaka
SemiBin_1	99.61	0.14 	medaka
SemiBin_10	88.94	1.1 	medaka
SemiBin_102	40.46	1.02 	medaka
SemiBin_104	39.57	0.82 	medaka
SemiBin_105	40.75	2.86 	medaka
SemiBin_107	45.73	7.83 	medaka
SemiBin_11	68.72	1.63 	medaka
SemiBin_110	66.2	1.65 	medaka
SemiBin_111	38.96	3.75 	medaka
SemiBin_113	60.82	7.45 	medaka
SemiBin_114	45.49	0.86 	medaka
SemiBin_115	57.33	2.68 	medaka
SemiBin_116	48.93	3.21 	medaka
SemiBin_118	84.04	4.38 	medaka
SemiBin_12	83.83	5.27 	medaka
SemiBin_120	65.87	2.82 	medaka
SemiBin_122	51.73	3.04 	medaka
SemiBin_125	54.39	3.82 	medaka
SemiBin_128	51.96	5.73 	medaka
SemiBin_13	69.39	1.27 	medaka
SemiBin_14	88.11	2.73 	medaka
SemiBin_141	64.85	0.88 	medaka
SemiBin_143	52.79	3.78 	medaka
SemiBin_144	70.99	1.99 	medaka
SemiBin_145	57.94	0.16 	medaka
SemiBin_1479	50.48	8.01 	medaka
SemiBin_148	76.69	2.23 	medaka
SemiBin_1487	49.0	3.8 	medaka
SemiBin_15	75.06	1.98 	medaka
SemiBin_154	57.27	3.63 	medaka
SemiBin_156	49.8	4.52 	medaka
SemiBin_16	85.89	4.66 	medaka
SemiBin_169	47.67	1.49 	medaka
SemiBin_17	76.89	0.73 	medaka
SemiBin_178	65.52	1.02 	medaka
SemiBin_18	52.14	1.62 	medaka
SemiBin_181	33.56	3.26 	medaka
SemiBin_185	56.73	7.61 	medaka
SemiBin_187	44.25	1.92 	medaka
SemiBin_19	83.99	2.27 	medaka
SemiBin_199	42.11	1.64 	medaka
SemiBin_2	99.68	0.66 	medaka
SemiBin_200	50.31	0.43 	medaka
SemiBin_21	88.78	3.94 	medaka
SemiBin_211	47.33	3.37 	medaka
SemiBin_22	85.31	1.86 	medaka
SemiBin_222	41.59	2.98 	medaka
SemiBin_23	70.19	2.84 	medaka
SemiBin_231	47.68	1.3 	medaka
SemiBin_24	76.48	1.47 	medaka
SemiBin_25	80.11	0.43 	medaka
SemiBin_26	77.22	3.39 	medaka
SemiBin_269	45.26	6.05 	medaka
SemiBin_27	87.2	3.09 	medaka
SemiBin_28	87.68	0.59 	medaka
SemiBin_29	83.81	1.63 	medaka
SemiBin_3	95.6	0.66 	medaka
SemiBin_30	64.65	2.15 	medaka
SemiBin_31	72.68	3.08 	medaka
SemiBin_310	46.86	0.79 	medaka
SemiBin_32	81.65	3.99 	medaka
SemiBin_33	88.43	7.4 	medaka
SemiBin_34	83.36	1.12 	medaka
SemiBin_35	80.42	1.55 	medaka
SemiBin_36	49.74	0.96 	medaka
SemiBin_37	83.57	3.06 	medaka
SemiBin_370	42.76	1.38 	medaka
SemiBin_39	84.61	7.27 	medaka
SemiBin_4	98.72	1.39 	medaka
SemiBin_40	68.3	1.56 	medaka
SemiBin_41	73.79	0.32 	medaka
SemiBin_42	70.96	1.47 	medaka
SemiBin_429	54.46	6.75 	medaka
SemiBin_43	60.12	2.75 	medaka
SemiBin_44	70.11	2.27 	medaka
SemiBin_45	73.26	3.17 	medaka
SemiBin_46	76.47	6.05 	medaka
SemiBin_47	77.39	0.69 	medaka
SemiBin_48	71.55	3.11 	medaka
SemiBin_49	78.02	1.27 	medaka
SemiBin_5	89.92	2.49 	medaka
SemiBin_52	61.01	1.05 	medaka
SemiBin_53	52.97	1.8 	medaka
SemiBin_54	67.63	1.06 	medaka
SemiBin_541	39.72	5.74 	medaka
SemiBin_55	59.81	1.52 	medaka
SemiBin_56	51.9	0.91 	medaka
SemiBin_58	77.28	5.05 	medaka
SemiBin_59	66.84	4.06 	medaka
SemiBin_6	98.46	2.95 	medaka
SemiBin_60	48.56	2.33 	medaka
SemiBin_61	20.72	2.64 	medaka
SemiBin_62	51.54	2.21 	medaka
SemiBin_63	49.12	0.61 	medaka
SemiBin_65	46.95	0.12 	medaka
SemiBin_66	55.68	0.46 	medaka
SemiBin_67	61.77	4.81 	medaka
SemiBin_68	41.97	0.31 	medaka
SemiBin_69	61.61	4.05 	medaka
SemiBin_7	96.63	2.56 	medaka
SemiBin_70	83.63	2.23 	medaka
SemiBin_71	60.4	0.61 	medaka
SemiBin_72	57.02	0.66 	medaka
SemiBin_73	56.74	1.8 	medaka
SemiBin_74	54.72	2.1 	medaka
SemiBin_75	46.79	0.94 	medaka
SemiBin_76	53.32	8.57 	medaka
SemiBin_77	40.96	3.73 	medaka
SemiBin_79	35.76	2.13 	medaka
SemiBin_8	97.57	3.64 	medaka
SemiBin_81	61.34	0.29 	medaka
SemiBin_82	62.96	5.94 	medaka
SemiBin_83	52.57	1.35 	medaka
SemiBin_86	43.33	2.38 	medaka
SemiBin_87	47.42	3.8 	medaka
SemiBin_88	44.34	0.21 	medaka
SemiBin_89	59.67	1.91 	medaka
SemiBin_9	93.19	1.83 	medaka
SemiBin_90	59.93	0.37 	medaka
SemiBin_91	48.14	1.27 	medaka
SemiBin_92	47.7	0.38 	medaka
SemiBin_94	59.64	8.89 	medaka
SemiBin_95	55.61	0.18 	medaka
SemiBin_97	58.29	1.8 	medaka
SemiBin_98	50.83	0.16 	medaka
SemiBin_99	78.37	1.65 	medaka
SemiBin_0	97.61	0.6 	medaka
SemiBin_1	91.58	0.59 	medaka
SemiBin_10	78.58	1.14 	medaka
SemiBin_100	55.86	3.14 	medaka
SemiBin_101	44.85	4.15 	medaka
SemiBin_102	57.33	0.47 	medaka
SemiBin_103	51.69	4.18 	medaka
SemiBin_104	69.44	7.7 	medaka
SemiBin_105	62.52	6.34 	medaka
SemiBin_106	37.61	2.68 	medaka
SemiBin_107	55.49	3.72 	medaka
SemiBin_108	57.79	0.48 	medaka
SemiBin_109	37.92	1.02 	medaka
SemiBin_11	100.0	4.03 	medaka
SemiBin_110	41.54	4.61 	medaka
SemiBin_111	64.79	0.15 	medaka
SemiBin_112	38.92	1.45 	medaka
SemiBin_113	62.82	3.19 	medaka
SemiBin_1136	47.75	7.84 	medaka
SemiBin_114	53.1	3.19 	medaka
SemiBin_115	56.01	4.06 	medaka
SemiBin_1157	41.46	6.96 	medaka
SemiBin_116	34.19	1.91 	medaka
SemiBin_117	78.06	1.54 	medaka
SemiBin_118	40.86	0.96 	medaka
SemiBin_119	45.29	5.86 	medaka
SemiBin_12	88.66	0.53 	medaka
SemiBin_120	51.58	1.53 	medaka
SemiBin_121	59.73	0.42 	medaka
SemiBin_122	54.42	0.91 	medaka
SemiBin_123	83.81	0.22 	medaka
SemiBin_124	61.74	1.19 	medaka
SemiBin_125	45.79	3.02 	medaka
SemiBin_126	49.42	1.19 	medaka
SemiBin_127	77.3	1.92 	medaka
SemiBin_129	33.66	3.91 	medaka
SemiBin_13	92.07	0.7 	medaka
SemiBin_130	56.96	0.51 	medaka
SemiBin_131	50.5	1.16 	medaka
SemiBin_132	42.61	0.76 	medaka
SemiBin_133	53.04	4.4 	medaka
SemiBin_134	45.43	0.94 	medaka
SemiBin_135	95.73	2.54 	medaka
SemiBin_137	42.73	0.24 	medaka
SemiBin_138	46.62	2.09 	medaka
SemiBin_139	37.44	6.18 	medaka
SemiBin_14	83.51	1.17 	medaka
SemiBin_141	49.02	1.24 	medaka
SemiBin_142	60.83	3.72 	medaka
SemiBin_144	52.64	1.27 	medaka
SemiBin_1449	48.38	4.35 	medaka
SemiBin_145	37.36	0.59 	medaka
SemiBin_147	67.01	1.57 	medaka
SemiBin_149	59.18	1.52 	medaka
SemiBin_15	96.7	0.0 	medaka
SemiBin_150	45.86	0.26 	medaka
SemiBin_153	57.71	1.11 	medaka
SemiBin_155	40.94	1.27 	medaka
SemiBin_156	73.9	1.5 	medaka
SemiBin_158	44.38	2.82 	medaka
SemiBin_159	60.73	0.87 	medaka
SemiBin_16	95.88	5.09 	medaka
SemiBin_160	44.57	14.65 	medaka
SemiBin_162	58.15	3.6 	medaka
SemiBin_164	45.14	6.19 	medaka
SemiBin_1645	53.82	6.7 	medaka
SemiBin_168	66.42	2.07 	medaka
SemiBin_169	40.26	2.6 	medaka
SemiBin_17	72.09	0.88 	medaka
SemiBin_174	62.93	0.09 	medaka
SemiBin_178	35.48	4.48 	medaka
SemiBin_180	46.92	2.03 	medaka
SemiBin_183	39.25	0.41 	medaka
SemiBin_184	66.75	6.53 	medaka
SemiBin_185	62.02	6.44 	medaka
SemiBin_188	51.56	1.76 	medaka
SemiBin_189	48.21	0.93 	medaka
SemiBin_19	94.0	2.91 	medaka
SemiBin_192	42.54	1.3 	medaka
SemiBin_2	100.0	1.27 	medaka
SemiBin_20	66.26	5.75 	medaka
SemiBin_2008	37.02	5.11 	medaka
SemiBin_201	43.29	1.03 	medaka
SemiBin_202	50.8	1.61 	medaka
SemiBin_205	47.54	1.0 	medaka
SemiBin_209	43.15	5.77 	medaka
SemiBin_21	90.19	0.65 	medaka
SemiBin_212	62.9	0.22 	medaka
SemiBin_217	42.31	0.26 	medaka
SemiBin_22	74.47	0.74 	medaka
SemiBin_222	41.94	4.76 	medaka
SemiBin_223	55.43	1.19 	medaka
SemiBin_229	59.73	3.42 	medaka
SemiBin_23	80.06	1.01 	medaka
SemiBin_232	60.9	4.09 	medaka
SemiBin_24	88.67	1.35 	medaka
SemiBin_242	36.4	0.13 	medaka
SemiBin_244	38.07	2.79 	medaka
SemiBin_245	37.1	3.82 	medaka
SemiBin_25	87.03	1.43 	medaka
SemiBin_253	41.3	1.93 	medaka
SemiBin_254	46.74	2.0 	medaka
SemiBin_26	80.82	0.93 	medaka
SemiBin_27	78.22	1.86 	medaka
SemiBin_279	39.35	1.25 	medaka
SemiBin_28	85.91	0.01 	medaka
SemiBin_287	59.12	1.61 	medaka
SemiBin_29	83.25	6.39 	medaka
SemiBin_290	52.23	4.03 	medaka
SemiBin_3	94.24	0.67 	medaka
SemiBin_30	86.99	3.05 	medaka
SemiBin_307	42.94	7.53 	medaka
SemiBin_31	57.77	5.77 	medaka
SemiBin_32	89.65	1.11 	medaka
SemiBin_33	66.02	0.58 	medaka
SemiBin_338	85.58	0.73 	medaka
SemiBin_34	80.14	1.05 	medaka
SemiBin_35	73.9	2.04 	medaka
SemiBin_36	68.18	3.07 	medaka
SemiBin_37	84.37	3.47 	medaka
SemiBin_38	86.47	0.59 	medaka
SemiBin_39	67.73	1.13 	medaka
SemiBin_4	97.96	5.03 	medaka
SemiBin_40	61.81	0.5 	medaka
SemiBin_41	87.32	2.07 	medaka
SemiBin_42	78.95	3.49 	medaka
SemiBin_425	64.37	1.38 	medaka
SemiBin_43	73.37	2.6 	medaka
SemiBin_44	69.37	0.08 	medaka
SemiBin_45	65.04	2.67 	medaka
SemiBin_46	85.74	5.68 	medaka
SemiBin_47	72.92	2.5 	medaka
SemiBin_48	56.13	1.28 	medaka
SemiBin_49	72.55	2.03 	medaka
SemiBin_494	38.85	4.92 	medaka
SemiBin_5	83.23	2.47 	medaka
SemiBin_50	59.13	4.99 	medaka
SemiBin_51	68.36	2.75 	medaka
SemiBin_52	79.08	3.68 	medaka
SemiBin_53	84.72	2.46 	medaka
SemiBin_54	67.28	1.89 	medaka
SemiBin_55	56.5	2.64 	medaka
SemiBin_56	83.83	2.39 	medaka
SemiBin_57	65.43	2.62 	medaka
SemiBin_58	80.5	4.63 	medaka
SemiBin_59	72.47	2.26 	medaka
SemiBin_6	96.46	4.68 	medaka
SemiBin_60	37.09	1.71 	medaka
SemiBin_61	28.63	0.39 	medaka
SemiBin_62	64.15	1.69 	medaka
SemiBin_63	84.5	3.11 	medaka
SemiBin_64	71.14	2.45 	medaka
SemiBin_66	81.5	5.09 	medaka
SemiBin_67	73.2	3.1 	medaka
SemiBin_68	69.88	1.22 	medaka
SemiBin_69	57.82	14.35 	medaka
SemiBin_7	80.79	0.15 	medaka
SemiBin_70	56.16	1.02 	medaka
SemiBin_71	77.16	5.51 	medaka
SemiBin_72	79.22	7.06 	medaka
SemiBin_73	71.98	0.14 	medaka
SemiBin_74	62.97	1.75 	medaka
SemiBin_75	69.26	3.6 	medaka
SemiBin_76	55.72	2.03 	medaka
SemiBin_77	61.43	1.53 	medaka
SemiBin_78	48.04	3.6 	medaka
SemiBin_79	73.89	3.49 	medaka
SemiBin_8	83.06	0.84 	medaka
SemiBin_80	61.15	4.69 	medaka
SemiBin_804	49.47	6.77 	medaka
SemiBin_81	72.09	1.37 	medaka
SemiBin_82	45.5	0.13 	medaka
SemiBin_83	69.56	9.07 	medaka
SemiBin_830	46.05	6.45 	medaka
SemiBin_84	51.71	1.02 	medaka
SemiBin_85	52.88	5.7 	medaka
SemiBin_87	62.64	2.21 	medaka
SemiBin_88	67.41	6.22 	medaka
SemiBin_89	35.73	3.85 	medaka
SemiBin_9	94.64	4.12 	medaka
SemiBin_90	50.57	0.94 	medaka
SemiBin_91	49.95	0.29 	medaka
SemiBin_92	51.0	2.28 	medaka
SemiBin_93	59.4	6.04 	medaka
SemiBin_94	69.29	1.25 	medaka
SemiBin_96	54.72	0.74 	medaka
SemiBin_97	52.52	2.69 	medaka
SemiBin_99	53.92	3.27 	medaka
SemiBin_0	96.85	3.96 	medaka
SemiBin_1	95.03	0.97 	medaka
SemiBin_10	80.29	4.37 	medaka
SemiBin_103	35.72	1.95 	medaka
SemiBin_105	62.48	0.08 	medaka
SemiBin_106	64.04	1.9 	medaka
SemiBin_11	60.52	0.59 	medaka
SemiBin_110	43.48	0.38 	medaka
SemiBin_113	40.15	1.12 	medaka
SemiBin_116	48.54	0.31 	medaka
SemiBin_118	58.29	0.07 	medaka
SemiBin_12	81.97	1.45 	medaka
SemiBin_122	45.07	1.51 	medaka
SemiBin_1258	41.77	8.11 	medaka
SemiBin_127	72.39	5.81 	medaka
SemiBin_129	42.62	4.08 	medaka
SemiBin_13	72.56	5.15 	medaka
SemiBin_14	64.92	4.6 	medaka
SemiBin_15	90.11	4.11 	medaka
SemiBin_150	48.71	0.28 	medaka
SemiBin_159	43.73	1.64 	medaka
SemiBin_16	77.19	0.67 	medaka
SemiBin_17	86.63	2.9 	medaka
SemiBin_170	47.89	0.72 	medaka
SemiBin_1728	34.94	3.29 	medaka
SemiBin_18	59.68	1.15 	medaka
SemiBin_19	73.76	5.19 	medaka
SemiBin_2	91.21	6.33 	medaka
SemiBin_20	62.7	2.48 	medaka
SemiBin_206	46.53	4.5 	medaka
SemiBin_21	61.08	4.0 	medaka
SemiBin_22	56.61	0.38 	medaka
SemiBin_23	57.42	0.15 	medaka
SemiBin_25	51.07	2.79 	medaka
SemiBin_26	52.07	1.65 	medaka
SemiBin_27	62.44	4.8 	medaka
SemiBin_28	40.61	3.19 	medaka
SemiBin_280	46.95	1.01 	medaka
SemiBin_29	57.04	0.21 	medaka
SemiBin_3	86.7	1.22 	medaka
SemiBin_30	64.44	1.41 	medaka
SemiBin_31	45.12	1.79 	medaka
SemiBin_32	42.66	2.18 	medaka
SemiBin_33	44.03	4.6 	medaka
SemiBin_34	38.97	4.18 	medaka
SemiBin_35	52.6	1.85 	medaka
SemiBin_36	71.4	0.47 	medaka
SemiBin_37	45.72	1.22 	medaka
SemiBin_38	35.81	0.83 	medaka
SemiBin_39	56.32	0.63 	medaka
SemiBin_4	90.62	2.59 	medaka
SemiBin_40	68.3	3.07 	medaka
SemiBin_41	47.02	0.36 	medaka
SemiBin_42	58.09	0.9 	medaka
SemiBin_43	49.47	3.35 	medaka
SemiBin_44	64.63	5.7 	medaka
SemiBin_45	41.26	2.16 	medaka
SemiBin_47	91.18	3.44 	medaka
SemiBin_49	55.31	2.19 	medaka
SemiBin_5	81.59	1.07 	medaka
SemiBin_50	55.63	1.83 	medaka
SemiBin_51	74.84	1.24 	medaka
SemiBin_517	70.95	2.72 	medaka
SemiBin_52	37.66	1.92 	medaka
SemiBin_53	46.43	1.74 	medaka
SemiBin_55	36.47	2.51 	medaka
SemiBin_56	52.75	0.36 	medaka
SemiBin_58	48.77	3.46 	medaka
SemiBin_59	48.19	1.5 	medaka
SemiBin_6	70.94	3.77 	medaka
SemiBin_60	45.8	4.26 	medaka
SemiBin_607	52.76	5.45 	medaka
SemiBin_61	39.34	4.31 	medaka
SemiBin_611	52.09	7.58 	medaka
SemiBin_62	42.04	1.69 	medaka
SemiBin_64	49.18	1.7 	medaka
SemiBin_65	53.1	0.4 	medaka
SemiBin_67	49.16	1.27 	medaka
SemiBin_69	42.93	0.13 	medaka
SemiBin_7	61.77	1.17 	medaka
SemiBin_72	76.58	3.92 	medaka
SemiBin_73	46.63	1.42 	medaka
SemiBin_74	41.74	0.68 	medaka
SemiBin_78	73.78	0.14 	medaka
SemiBin_8	81.62	2.23 	medaka
SemiBin_81	48.47	1.82 	medaka
SemiBin_9	87.23	2.95 	medaka
SemiBin_90	46.51	3.84 	medaka
SemiBin_97	56.64	0.25 	medaka
SemiBin_98	39.21	3.7 	medaka
SemiBin_99	64.71	1.95 	medaka
SemiBin_0	78.25	0.12 	medaka
SemiBin_1	86.58	2.58 	medaka
SemiBin_10	90.55	1.58 	medaka
SemiBin_100	47.73	0.98 	medaka
SemiBin_104	41.49	4.36 	medaka
SemiBin_106	29.84	3.6 	medaka
SemiBin_108	50.02	1.54 	medaka
SemiBin_109	48.21	2.41 	medaka
SemiBin_11	86.55	0.98 	medaka
SemiBin_111	54.16	2.89 	medaka
SemiBin_112	36.49	2.67 	medaka
SemiBin_115	39.81	0.51 	medaka
SemiBin_1187	51.08	7.74 	medaka
SemiBin_1193	39.1	4.29 	medaka
SemiBin_12	81.16	4.2 	medaka
SemiBin_121	74.22	4.91 	medaka
SemiBin_122	42.79	1.06 	medaka
SemiBin_13	72.01	1.8 	medaka
SemiBin_130	42.6	0.18 	medaka
SemiBin_132	47.35	6.27 	medaka
SemiBin_133	66.77	2.21 	medaka
SemiBin_14	78.71	0.48 	medaka
SemiBin_140	58.1	1.97 	medaka
SemiBin_145	56.54	1.81 	medaka
SemiBin_146	67.86	2.09 	medaka
SemiBin_1487	43.97	10.02 	medaka
SemiBin_149	33.2	2.77 	medaka
SemiBin_1492	44.97	6.95 	medaka
SemiBin_1499	44.18	2.83 	medaka
SemiBin_15	85.42	2.31 	medaka
SemiBin_150	53.82	4.93 	medaka
SemiBin_154	82.69	1.89 	medaka
SemiBin_155	47.98	0.88 	medaka
SemiBin_156	46.58	2.87 	medaka
SemiBin_158	55.08	0.42 	medaka
SemiBin_16	82.85	2.28 	medaka
SemiBin_162	53.41	0.73 	medaka
SemiBin_165	49.47	1.57 	medaka
SemiBin_167	47.8	5.12 	medaka
SemiBin_17	63.33	6.08 	medaka
SemiBin_170	47.19	2.88 	medaka
SemiBin_178	30.78	1.17 	medaka
SemiBin_18	94.16	2.9 	medaka
SemiBin_182	52.62	2.4 	medaka
SemiBin_186	41.87	2.19 	medaka
SemiBin_187	58.04	5.41 	medaka
SemiBin_19	82.07	3.69 	medaka
SemiBin_192	39.67	1.55 	medaka
SemiBin_193	55.22	0.08 	medaka
SemiBin_195	44.95	5.08 	medaka
SemiBin_2	94.42	0.95 	medaka
SemiBin_20	77.15	2.54 	medaka
SemiBin_201	39.34	0.47 	medaka
SemiBin_204	50.04	0.49 	medaka
SemiBin_205	77.91	5.9 	medaka
SemiBin_209	39.37	0.45 	medaka
SemiBin_21	82.93	4.18 	medaka
SemiBin_211	40.44	0.68 	medaka
SemiBin_22	82.14	2.91 	medaka
SemiBin_23	87.53	2.81 	medaka
SemiBin_239	53.19	3.24 	medaka
SemiBin_24	95.91	4.09 	medaka
SemiBin_25	84.53	4.61 	medaka
SemiBin_256	40.11	5.92 	medaka
SemiBin_26	75.99	1.23 	medaka
SemiBin_27	89.34	0.33 	medaka
SemiBin_270	40.59	3.96 	medaka
SemiBin_274	94.73	0.45 	medaka
SemiBin_28	96.43	1.12 	medaka
SemiBin_29	80.34	2.25 	medaka
SemiBin_3	99.22	0.36 	medaka
SemiBin_30	88.58	5.95 	medaka
SemiBin_31	70.05	1.23 	medaka
SemiBin_32	82.56	2.75 	medaka
SemiBin_33	66.9	1.77 	medaka
SemiBin_35	75.65	5.11 	medaka
SemiBin_36	50.35	0.33 	medaka
SemiBin_37	71.39	1.01 	medaka
SemiBin_38	77.05	2.42 	medaka
SemiBin_39	74.22	5.52 	medaka
SemiBin_4	94.84	0.16 	medaka
SemiBin_40	80.9	1.84 	medaka
SemiBin_41	77.41	2.46 	medaka
SemiBin_43	83.35	7.98 	medaka
SemiBin_44	56.18	0.27 	medaka
SemiBin_46	60.66	0.07 	medaka
SemiBin_47	69.16	0.53 	medaka
SemiBin_48	63.58	2.36 	medaka
SemiBin_49	80.13	3.6 	medaka
SemiBin_5	90.11	0.31 	medaka
SemiBin_50	77.34	9.68 	medaka
SemiBin_51	73.82	1.12 	medaka
SemiBin_515	50.35	2.32 	medaka
SemiBin_516	46.89	5.07 	medaka
SemiBin_52	69.64	0.79 	medaka
SemiBin_53	54.15	2.45 	medaka
SemiBin_54	71.25	3.56 	medaka
SemiBin_55	59.91	0.69 	medaka
SemiBin_56	69.25	6.58 	medaka
SemiBin_59	73.33	6.3 	medaka
SemiBin_6	96.68	1.02 	medaka
SemiBin_60	60.82	0.86 	medaka
SemiBin_61	67.08	3.16 	medaka
SemiBin_62	44.85	0.77 	medaka
SemiBin_63	54.19	5.68 	medaka
SemiBin_64	65.71	0.62 	medaka
SemiBin_650	48.73	2.19 	medaka
SemiBin_66	79.28	3.71 	medaka
SemiBin_67	71.1	3.17 	medaka
SemiBin_68	59.03	3.08 	medaka
SemiBin_69	78.64	0.26 	medaka
SemiBin_7	97.25	1.27 	medaka
SemiBin_70	49.43	0.39 	medaka
SemiBin_71	56.72	0.4 	medaka
SemiBin_72	66.89	2.86 	medaka
SemiBin_73	56.77	2.35 	medaka
SemiBin_74	61.52	0.2 	medaka
SemiBin_75	64.33	0.2 	medaka
SemiBin_76	59.89	0.94 	medaka
SemiBin_77	78.56	5.1 	medaka
SemiBin_79	61.08	3.13 	medaka
SemiBin_8	84.16	1.85 	medaka
SemiBin_80	54.67	2.11 	medaka
SemiBin_81	58.66	1.03 	medaka
SemiBin_83	60.92	0.24 	medaka
SemiBin_84	58.09	3.87 	medaka
SemiBin_841	39.03	2.84 	medaka
SemiBin_85	47.28	1.75 	medaka
SemiBin_86	48.36	2.29 	medaka
SemiBin_87	54.93	8.31 	medaka
SemiBin_88	55.17	3.47 	medaka
SemiBin_89	44.14	3.54 	medaka
SemiBin_9	90.23	1.12 	medaka
SemiBin_90	32.93	0.31 	medaka
SemiBin_94	49.01	2.35 	medaka
SemiBin_96	91.73	0.42 	medaka
SemiBin_97	82.01	0.38 	medaka
SemiBin_98	40.17	0.03 	medaka
SemiBin_99	51.87	0.52 	medaka
SemiBin_0	98.07	0.91 	medaka
SemiBin_1	96.44	1.83 	medaka
SemiBin_10	92.48	8.0 	medaka
SemiBin_100	44.29	0.95 	medaka
SemiBin_101	56.25	3.71 	medaka
SemiBin_102	57.31	1.26 	medaka
SemiBin_103	57.82	2.59 	medaka
SemiBin_104	57.32	5.51 	medaka
SemiBin_105	62.15	2.03 	medaka
SemiBin_106	72.3	3.11 	medaka
SemiBin_107	59.64	0.8 	medaka
SemiBin_109	53.9	1.45 	medaka
SemiBin_11	76.75	2.31 	medaka
SemiBin_110	42.45	3.86 	medaka
SemiBin_111	60.42	11.0 	medaka
SemiBin_112	50.74	0.58 	medaka
SemiBin_113	50.1	6.95 	medaka
SemiBin_114	47.53	1.58 	medaka
SemiBin_117	44.77	2.11 	medaka
SemiBin_118	58.53	1.83 	medaka
SemiBin_1181	44.1	7.62 	medaka
SemiBin_12	93.87	0.19 	medaka
SemiBin_120	57.95	0.55 	medaka
SemiBin_123	39.36	3.22 	medaka
SemiBin_124	83.87	0.27 	medaka
SemiBin_125	60.19	0.44 	medaka
SemiBin_126	45.15	1.26 	medaka
SemiBin_128	71.15	0.25 	medaka
SemiBin_13	93.48	1.68 	medaka
SemiBin_130	76.34	0.14 	medaka
SemiBin_134	55.1	0.57 	medaka
SemiBin_135	59.9	3.2 	medaka
SemiBin_136	36.89	1.46 	medaka
SemiBin_139	80.89	6.49 	medaka
SemiBin_14	73.49	0.1 	medaka
SemiBin_140	45.3	3.01 	medaka
SemiBin_142	44.99	0.98 	medaka
SemiBin_145	59.06	1.57 	medaka
SemiBin_146	42.91	1.37 	medaka
SemiBin_148	50.48	1.85 	medaka
SemiBin_15	86.67	0.65 	medaka
SemiBin_153	46.72	2.56 	medaka
SemiBin_16	88.9	0.39 	medaka
SemiBin_160	72.6	0.66 	medaka
SemiBin_162	75.64	7.9 	medaka
SemiBin_166	49.8	1.15 	medaka
SemiBin_167	43.42	1.08 	medaka
