Sample	Mag ID	nbps	Nr contigs	N50	L50	Completeness	Contamination	Quality	Drep_95	Drep_99	S16	S23	S5	Total tRNA	Unique tRNA	GTDB	MIMAG	SGB	ARO	Drug Class	Resistance Mechanism	AMR Gene Family
sample13	sample13_SemiBin_121	2791009	15	200636	5	59.65	1.84	Medium quality	T	T	0	0	0	21	13	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__VFZN01;s__	F	1255_2	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_122	2955329	43	102723	11	51.63	5.07	Medium quality	T	T	0	0	0	38	17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SHZL01;s__	F	525_0	3002961	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_123	3528627	87	48606	24	52.14	1.83	Medium quality	T	T	0	0	0	55	19	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	F	422_3	3002956;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	vanY; glycopeptide resistance gene cluster,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_124	6538050	48	176012	10	83.99	8.39	Medium quality	T	T	0	0	0	36	16	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__PALSA-1004;s__	F	2600_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_125	5081296	32	269720	7	65.63	3.4	Medium quality	F	T	0	0	0	31	14	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	F	1843_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_126	5689420	50	149878	14	59.91	0.63	Medium quality	T	T	1	1	1	46	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JACCSI01;s__	F	1275_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_127	9234905	83	169506	21	74.78	2.16	Medium quality	T	T	1	1	1	48	18	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	F	1513_1	3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_12	4246801	7	1266837	2	96.5	0.74	High quality	T	T	1	1	1	48	20	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__QHYA01;f__;g__;s__	T	903_1	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_130	1736393	2	1198738	1	53.14	0.01	Medium quality	F	T	0	0	0	17	11	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__;s__	F	1297_1	NA	NA	NA	NA
sample13	sample13_SemiBin_131	2671045	42	89956	10	65.82	2.67	Medium quality	T	T	0	0	0	32	17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__SZUA-186;s__	F	2136_0	NA	NA	NA	NA
sample13	sample13_SemiBin_133	3880480	33	165487	7	66.11	3.21	Medium quality	T	T	0	0	0	25	12	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__	F	312_4	NA	NA	NA	NA
sample13	sample13_SemiBin_137	3678428	13	359995	4	52.64	0.04	Medium quality	T	T	0	0	0	24	14	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__	F	1159_2	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_139	5638237	59	112018	18	62.44	1.23	Medium quality	T	T	1	1	1	45	19	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__GCA-002748355;g__;s__	F	2760_0	NA	NA	NA	NA
sample13	sample13_SemiBin_13	4275527	11	440173	3	94.12	2.05	High quality	T	T	1	1	1	43	20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADKGY01;s__	T	151_1	NA	NA	NA	NA
sample13	sample13_SemiBin_140	5160212	65	90993	19	53.33	1.22	Medium quality	T	T	1	1	1	31	17	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__V1-33;g__V1-33;s__	F	64_0	NA	NA	NA	NA
sample13	sample13_SemiBin_141	4405715	43	113705	12	68.05	5.44	Medium quality	F	T	1	1	1	53	19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__FEN-1219;s__	F	2048_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_142	6739212	15	941313	3	81.1	1.8	Medium quality	F	F	1	1	1	40	17	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	F	1247_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_145	2481654	3	1286955	1	61.64	0.07	Medium quality	F	T	1	1	1	45	19	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__SZUA-252;f__SZUA-252;g__;s__	F	1561_1	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_146	4326758	33	225157	6	76.32	8.11	Medium quality	F	T	0	0	0	30	17	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__	F	1885_1	NA	NA	NA	NA
sample13	sample13_SemiBin_147	2617078	19	154964	6	62.5	0.4	Medium quality	F	T	1	1	1	35	18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	F	2084_1	3002956;3002972;3007015	glycopeptide antibiotic,disinfecting agents and antiseptics	antibiotic target alteration,antibiotic efflux	vanY; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT,small multidrug resistance (SMR) antibiotic efflux pump
sample13	sample13_SemiBin_148	5281834	27	281211	8	65.96	2.81	Medium quality	T	T	1	1	0	36	17	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__;s__	F	1399_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_14	4823025	6	1043097	2	100.0	0.86	High quality	T	T	1	1	1	50	20	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__;s__	T	1315_0	3002972;3000777;3002943	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	vanH; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_151	1626493	24	76093	8	50.31	0.59	Medium quality	F	T	0	0	0	20	13	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__NS-7;s__	F	772_1	NA	NA	NA	NA
sample13	sample13_SemiBin_153	7066951	56	172228	15	59.3	8.34	Medium quality	T	T	0	0	0	71	19	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__CADEEV01;s__	F	1731_0	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_154	3787866	90	49475	24	59.99	9.25	Medium quality	T	T	1	0	0	42	14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__;s__	F	2319_2	3002956	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_156	2740326	23	187869	6	71.82	1.26	Medium quality	F	T	2	3	2	44	19	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__	F	2523_1	NA	NA	NA	NA
sample13	sample13_SemiBin_157	3884599	13	374733	4	60.34	4.21	Medium quality	T	T	1	1	1	17	12	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__	F	1413_0	NA	NA	NA	NA
sample13	sample13_SemiBin_158	5091876	78	72888	22	58.09	6.68	Medium quality	F	T	0	0	0	29	13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__FEN-1219;s__	F	2049_1	3002956	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_1590	3358233	85	39231	25	52.25	6.05	Medium quality	T	T	1	1	1	22	12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__FEN-1219;s__	F	2060_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_1592	4342274	53	99049	16	68.02	7.49	Medium quality	T	T	0	0	0	47	15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	F	2091_2	NA	NA	NA	NA
sample13	sample13_SemiBin_1597	4170787	78	63048	21	59.64	8.23	Medium quality	T	T	0	0	0	37	15	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__CAIYRG01;s__	F	2480_0	NA	NA	NA	NA
sample13	sample13_SemiBin_159	5278793	43	147747	10	58.15	3.82	Medium quality	F	T	1	1	0	34	16	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__	F	1795_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_15	1970584	6	418865	3	89.03	0.45	Medium quality	T	T	2	2	2	51	20	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__;s__	F	2623_2	3002956;3002972;3003724;3007015	glycopeptide antibiotic,disinfecting agents and antiseptics	antibiotic target alteration,antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump,vanY; glycopeptide resistance gene cluster,glycopeptide resistance gene cluster; vanT,vanW; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_1619	2262643	50	58161	13	57.67	3.37	Medium quality	T	T	0	0	0	19	10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__JAABQT01;s__	F	2315_1	NA	NA	NA	NA
sample13	sample13_SemiBin_163	4015428	12	646307	3	79.11	0.53	Medium quality	T	T	1	1	1	36	16	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__G020349025;f__G020349025;g__G020349025;s__	F	1632_0	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_165	2943117	33	140018	9	51.61	0.23	Medium quality	F	T	2	2	1	42	16	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__;g__;s__	F	1585_1	NA	NA	NA	NA
sample13	sample13_SemiBin_169	2796759	21	160219	6	73.0	2.23	Medium quality	F	T	0	0	0	29	14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__;s__	F	2166_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_16	3178836	17	277189	4	92.89	2.35	High quality	F	T	1	1	1	49	20	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	T	914_1	NA	NA	NA	NA
sample13	sample13_SemiBin_172	2824738	31	120120	9	50.43	0.02	Medium quality	F	T	1	1	1	41	17	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JAGGAG01;s__	F	944_1	NA	NA	NA	NA
sample13	sample13_SemiBin_173	4204626	19	315429	6	69.99	0.51	Medium quality	T	T	1	1	1	31	15	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b;s__	F	1214_3	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_176	4737389	38	164782	9	52.56	0.74	Medium quality	F	T	1	1	0	30	17	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__JADJPG01;g__;s__	F	580_1	3002972;3007015	glycopeptide antibiotic,disinfecting agents and antiseptics	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,small multidrug resistance (SMR) antibiotic efflux pump
sample13	sample13_SemiBin_179	3712873	16	277590	5	65.17	0.55	Medium quality	T	T	0	0	0	23	11	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__DP-6;f__DP-6;g__;s__	F	1977_0	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_17	5351000	4	2073562	2	89.88	0.12	Medium quality	T	T	1	1	1	50	19	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	F	412_1	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_182	1672281	10	252028	3	56.93	0.01	Medium quality	T	T	0	0	0	32	14	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__;s__	F	2630_0	3007015	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump
sample13	sample13_SemiBin_184	3819430	23	237242	5	55.65	4.07	Medium quality	T	T	1	1	1	36	18	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__;s__	F	1298_1	NA	NA	NA	NA
sample13	sample13_SemiBin_188	3472638	21	214979	6	60.7	0.3	Medium quality	F	T	1	1	1	40	19	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__	F	960_5	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_18	5767920	12	872144	3	88.16	1.08	Medium quality	F	F	1	2	2	45	20	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__JADGNW01;s__	F	433_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_191	4752350	33	212018	9	72.14	6.0	Medium quality	T	T	0	0	0	40	16	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__	F	268_0	NA	NA	NA	NA
sample13	sample13_SemiBin_194	3318956	7	701335	2	72.31	1.15	Medium quality	F	T	1	1	1	38	16	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__;s__	F	1654_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_197	6077056	57	138675	14	54.53	4.76	Medium quality	T	T	1	1	1	29	14	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__SZUA-336;f__SZUA-336;g__;s__	F	1911_0	NA	NA	NA	NA
sample13	sample13_SemiBin_19	2886957	6	987312	2	90.01	1.7	High quality	F	F	1	1	1	49	20	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__UBA5794;f__ZC4RG35;g__JACZUI01;s__	T	463_1	3002956;3002972;3003724;3003395	glycopeptide antibiotic,aminoglycoside antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT,vanW; glycopeptide resistance gene cluster,vanY; glycopeptide resistance gene cluster,antibiotic-resistant rpsL
sample13	sample13_SemiBin_1	3522739	11	360803	4	99.88	0.17	High quality	T	T	1	1	1	50	19	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__	T	764_1	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_202	3745409	15	294953	5	63.01	1.06	Medium quality	F	T	1	0	0	26	16	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAMQPK01;s__	F	1462_2	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_203	4314109	41	160513	8	59.71	1.49	Medium quality	F	T	1	1	1	40	20	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__G020349025;f__G020349025;g__;s__	F	1627_1	NA	NA	NA	NA
sample13	sample13_SemiBin_206	3372918	18	235280	6	55.85	2.22	Medium quality	F	T	0	0	0	36	17	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__G020349025;f__G020349025;g__;s__	F	1629_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_20	5413805	9	1400836	2	94.59	0.29	High quality	T	T	1	1	1	44	20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__	T	125_0	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_211	3874107	36	132788	11	64.67	1.04	Medium quality	F	T	0	0	0	37	16	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__	F	265_1	3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_215	3801712	22	197866	6	58.63	2.97	Medium quality	F	T	1	1	1	21	12	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__;s__	F	642_1	NA	NA	NA	NA
sample13	sample13_SemiBin_216	7180777	81	122548	18	54.64	2.35	Medium quality	T	T	1	1	0	34	18	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8108;f__SXIK01;g__;s__	F	1597_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_217	3701995	50	91290	13	57.15	4.01	Medium quality	T	T	0	0	0	31	15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__;s__	F	1604_1	NA	NA	NA	NA
sample13	sample13_SemiBin_21	2910094	6	633291	3	97.94	0.87	High quality	F	T	1	1	1	51	20	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	T	966_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_221	3480402	40	139090	9	50.52	0.19	Medium quality	F	T	1	1	1	34	16	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__JABDJR01;f__JABDJR01;g__;s__	F	1578_1	NA	NA	NA	NA
sample13	sample13_SemiBin_225	3914482	34	145954	10	73.76	5.02	Medium quality	F	T	2	2	2	51	18	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__JACPZX01;f__;g__;s__	F	709_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_232	2851211	19	201276	5	53.88	0.39	Medium quality	T	T	1	1	1	30	14	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__DP-6;f__DP-6;g__;s__	F	1957_2	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_233	3110051	19	236932	5	63.75	1.43	Medium quality	T	T	0	0	0	19	9	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__JACPFE01;s__	F	656_1	NA	NA	NA	NA
sample13	sample13_SemiBin_237	6729330	100	77479	32	54.82	6.75	Medium quality	T	T	1	0	0	63	19	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__SXOA01;s__	F	827_1	3002948	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_23	2372544	10	457245	3	90.4	2.69	High quality	F	T	1	1	1	35	18	d__Bacteria;p__Desulfobacterota_E;c__Deferrimicrobia;o__Deferrimicrobiales;f__Deferrimicrobiaceae;g__FEB-35;s__	T	594_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_244	3637543	38	147106	9	58.83	5.69	Medium quality	T	T	0	0	0	35	15	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__	F	1921_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_247	3217641	9	596735	3	62.46	2.86	Medium quality	F	T	0	0	1	33	14	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__;s__	F	1326_1	NA	NA	NA	NA
sample13	sample13_SemiBin_24	3224504	8	448153	4	97.22	1.32	High quality	F	T	0	1	1	52	20	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__JACCXV01;f__JAHWKZ01;g__;s__	F	713_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_253	2190835	6	513583	2	50.74	0.47	Medium quality	T	T	1	0	0	28	15	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__;g__;s__	F	2472_2	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
sample13	sample13_SemiBin_259	3077615	16	236724	5	62.78	0.28	Medium quality	T	T	0	0	0	31	16	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	F	1840_2	NA	NA	NA	NA
sample13	sample13_SemiBin_25	2524433	11	455779	2	90.37	0.36	High quality	T	T	1	1	1	40	19	d__Bacteria;p__Desulfobacterota_E;c__Deferrimicrobia;o__Deferrimicrobiales;f__Deferrimicrobiaceae;g__JAGGAJ01;s__	T	595_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_263	4170769	36	139641	12	53.78	2.97	Medium quality	F	T	1	1	0	23	13	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__JAIVJN01;s__	F	1438_1	NA	NA	NA	NA
sample13	sample13_SemiBin_267	2822047	21	250255	5	64.71	2.45	Medium quality	T	T	0	0	0	20	11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__JACQGN01;s__	F	2202_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_26	7085545	7	1367481	3	95.32	0.59	High quality	T	T	1	1	1	55	19	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__JADGNW01;s__	T	430_1	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
sample13	sample13_SemiBin_27	7502672	13	1889644	2	96.03	0.49	High quality	T	T	1	1	1	99	20	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__SXOA01;s__	T	824_1	3002942	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster
sample13	sample13_SemiBin_28	4023906	43	139448	10	89.52	0.67	Medium quality	F	F	1	1	1	49	19	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__	F	2333_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
