,simpson,chao1,shannon,Site,Ecosystem
SRR25158175,0.9982445822541319,2310.4219318768414,7.777645330428053,SMAG,Agricultural Land
SRR25158286,0.9975475487058995,3320.8789097327754,7.6190881635774685,SMAG,Agricultural Land
SRR25158266,0.9982838649843745,1392.8837516963301,7.6652966026482225,SMAG,Wetland
SRR25158377,0.9955249890150701,1795.7090851111466,6.813449591144228,SMAG,Forest
SRR25158349,0.9985281773172018,2020.8774016949544,7.8911060887963895,SMAG,Wetland
SRR25158339,0.9981672864814242,2177.789925887186,7.709803674496285,SMAG,Wetland
SRR25158272,0.9972794145159042,1919.3754332626756,7.31269959823108,SMAG,Agricultural Land
SRR25158405,0.9975971328150122,2984.4396923764402,7.4727348075125235,SMAG,Agricultural Land
SRR25158316,0.9984420996529529,2840.3103033431366,7.9647432218370815,SMAG,Agricultural Land
SRR25158457,0.9968090612750088,2508.587710145925,7.11031782091247,SMAG,Grassland
SRR25158396,0.9981838724712346,2134.176223335493,7.6617161498468835,SMAG,Agricultural Land
SRR25158452,0.9959134284263494,1722.0986246633702,6.997835900632755,SMAG,Agricultural Land
SRR25158381,0.9964034907708451,2868.944292949329,7.391950307147954,SMAG,Agricultural Land
SRR25158447,0.9973561923214115,2221.7349040142735,7.335197064865559,SMAG,Forest
SRR25158203,0.997868366390545,2619.9575441940397,7.592016745022057,SMAG,Wetland
SRR25158433,0.9983410357116692,2434.1442325394046,7.806423838414615,SMAG,Wetland
SRR25158453,0.9969666456692458,2271.4283413806183,7.4375215449879795,SMAG,Grassland
SRR25158312,0.9946197643742891,1309.330731903221,7.255471960101679,SMAG,Wetland
SRR25158283,0.9976455780488142,3470.343358749935,7.671448036236707,SMAG,Agricultural Land
SRR25158371,0.9979690719604148,2817.3081813799386,7.65507261848925,SMAG,Agricultural Land
SRR25158264,0.9982985366030406,1837.4082493472797,7.765832363772344,SMAG,Wetland
SRR25158508,0.9970123583768973,1986.2834919668862,7.46532992703022,SMAG,Agricultural Land
SRR25158209,0.9980711860966618,3891.193198246071,7.818451909527048,SMAG,Agricultural Land
SRR25158446,0.9982970032820282,2439.292500916013,7.813326612008166,SMAG,Agricultural Land
SRR25158518,0.9978222073142088,3272.357739653016,7.85784645816685,SMAG,Wetland
SRR25158292,0.9947100471369236,1477.431130672166,6.741335806828016,SMAG,Forest
SRR25158322,0.997679882470986,2324.028277502995,7.433339121306429,SMAG,Agricultural Land
SRR25158291,0.9964004111414285,2665.3368619360176,7.220022225439292,SMAG,Forest
SRR25158402,0.9946240182181809,1709.1907539949905,6.676072547346405,SMAG,Agricultural Land
SRR25158274,0.998227982981277,3418.9526735015047,7.810587468161021,SMAG,Agricultural Land
SRR25158233,0.9984166457660965,1674.6628042311409,7.79102478074435,SMAG,Agricultural Land
SRR25158261,0.9974227849128459,1563.336697317857,7.579141884154708,SMAG,Wetland
SRR25158442,0.9985060607527093,2657.328388231577,7.9316130395211735,SMAG,Agricultural Land
SRR25158534,0.9975136359756138,3268.78352948607,7.500716359744249,SMAG,Agricultural Land
SRR25158215,0.9973911091079951,3382.8315135307403,7.646019743216951,SMAG,Agricultural Land
SRR25158496,0.9979990488251641,3261.347129950706,7.713590901399041,SMAG,Agricultural Land
SRR25158268,0.9984398902565866,1812.202669029684,7.80376494274269,SMAG,Bare Land
SRR25158212,0.9981648809249439,4280.573321325294,7.926766560214698,SMAG,Agricultural Land
SRR25158537,0.996722834860067,2390.158370481211,7.0843589807678455,SMAG,Forest
SRR25158514,0.9976487432628719,1869.8804662138025,7.395544652699744,SMAG,Forest
SRR25158394,0.9971391953021398,2851.725807850675,7.38481895076604,SMAG,Forest
SRR25158226,0.9985196972103458,2206.928888065188,7.915371968701797,SMAG,Agricultural Land
SRR25158417,0.997099453160692,3048.193537974518,7.335241447351019,SMAG,Forest
SRR25158408,0.9964024017355914,2985.325174702213,7.408911877797489,SMAG,Wetland
SRR25158510,0.9977221801951123,2519.2556118836283,7.439481733786806,SMAG,Agricultural Land
SRR25158247,0.9984425357895457,2962.9347080903067,7.979169763383189,SMAG,Forest
SRR25158260,0.9972709615536177,2582.3895646277074,7.287523204082889,SMAG,Agricultural Land
SRR25158477,0.9977486577864705,3115.5429268266894,7.594406814709699,SMAG,Grassland
